,company_name,job_title,level,location,salary_max,salary_min,tags
393,"Biosci(Thailand) Co., Ltd.",Web developer,"Entry-Level, Full time", - คลองหลวง ปทุมธานี,45000,15000,"#css,#css3,#html,#javascript,#jquery"
394,"Biosci(Thailand) Co., Ltd.",iOS Developer,"Entry-Level, Full time", - คลองหลวง ปทุมธานี,45000,15000,"#api,#application,#developer,#ios"
395,"Biosci(Thailand) Co., Ltd.",Android Developer,"Entry-Level, Full time", - คลองหลวง ปทุมธานี,45000,15000,"#android,#api,#developer,#uml,#wireframe"
396,"FlowAccount Co., Ltd.",UX/UI Designer,"Entry-Level, Full time", - บางรัก กรุงเทพมหานคร,50000,20000,"#agile,#css,#material-design,#sketch"
397,Stamp Application,นักศึกษาฝึกงาน (2 ตำแหน่ง),"Entry-Level, Full time", - บางรัก กรุงเทพมหานคร,3000,1000,"#html,#php,#react,#react-native"
398,Stamp Application,Mobile Application Developer,"Entry-Level, Full time", - บางรัก กรุงเทพมหานคร,55000,20000,"#react,#react-native"
399,Stamp Application,Full Stack Web Developer,"Entry-Level, Full time", - บางรัก กรุงเทพมหานคร,50000,20000,"#javascript,#php"
400,Hytexts Interactive Limited,Front-End Developer [Urgent],"Entry-Level, Full time", - จตุจักร กรุงเทพมหานคร,40000,20000,"#css3,#html5,#javascript,#oop,#xml"
401,Hytexts Interactive Limited,Back-End Developer [Urgent],"Middle-Level, Full time", - จตุจักร กรุงเทพมหานคร,50000,25000,"#backend,#golang,#javascript,#mongodb,#nodejs"
402,"Petchem Supply Co., Ltd.",IT Support (1 Position),"Middle-Level, Full time", - บางเขน กรุงเทพมหานคร,42000,32000,
403,Tourkrub,Senior Software Developer,"Senior-Level, Full time", - วัฒนา กรุงเทพมหานคร,120000,50000,"#devops,#infra,#systemdesign,#web-design,#web-service"
404,Tourkrub,SENIOR UI DESIGNER,"Senior-Level, Full time", - วัฒนา กรุงเทพมหานคร,50000,30000,
405,"Telogic Telecom (Thailand) Co., Ltd",Node.js Software Developer,"Entry-Level, Full time", - พญาไท กรุงเทพมหานคร,40000,20000,"#javascript,#linux,#mongodb,#nodejs,#restful"
406,"Telogic Telecom (Thailand) Co., Ltd",System Analyst,"Middle-Level, Full time", - พญาไท กรุงเทพมหานคร,70000,50000,"#c,#java,#javascript,#mongodb,#nodejs"
407,"Bighead Creative Co.,ltd.",Tester จำนวน 1 ท่าน,"Senior-Level, Full time", - ลำลูกกา ปทุมธานี,40000,25000,
408,"Bighead Creative Co.,ltd.",System Analyst จำนวน 1 ท่าน,"Middle-Level, Full time", - ลำลูกกา ปทุมธานี,45000,25000,
409,"Bighead Creative Co.,ltd.",Developers จำนวน 3 ท่าน,"Middle-Level, Full time", - ลำลูกกา ปทุมธานี,70000,25000,
410,Golden Land Property Development PLC,System Engineer,"Middle-Level, Full time", - บางรัก กรุงเทพมหานคร,55000,35000,"#linux,#mssql,#vmware,#windowserver"
411,Golden Land Property Development PLC,Software Developer,"Middle-Level, Full time", - บางรัก กรุงเทพมหานคร,45000,30000,"#c-sharp,#dotnet,#mysql,#oracle,#soap"
412,"LAMUNPUN IT Co., Ltd.",Full Stack Web Developer,"Entry-Level, Full time", - สะพานสูง กรุงเทพมหานคร,40000,25000,"#aws,#gcp,#k8s,#python,#vuejs"
413,Golden Land Property Development PLC,Software Application Support,"Entry-Level, Full time", - บางรัก กรุงเทพมหานคร,40000,23000,"#crm,#erp,#rdbms,#sap"
414,"LAMUNPUN IT Co., Ltd.",IT Support/Tester,"Entry-Level, Full time", - สะพานสูง กรุงเทพมหานคร,20000,15000,"#microsoftoffice,#photoshop"
415,TimesConsult,Content Writer / Copywriter,"Entry-Level, Full time", - จตุจักร กรุงเทพมหานคร,80000,60000,
416,"FlowAccount Co., Ltd.",Software Tester / QA Engineer (Urgent!!),"Middle-Level, Full time", - บางรัก กรุงเทพมหานคร,50000,20000,"#automatedtest,#php,#python,#ruby,#test-case"
417,"FlowAccount Co., Ltd.",Front End Developer,"Entry-Level, Full time", - บางรัก กรุงเทพมหานคร,50000,20000,"#angular2,#css,#html,#javascript,#pwa"
418,"FlowAccount Co., Ltd.",Full Stack Developer,"Entry-Level, Full time", - บางรัก กรุงเทพมหานคร,70000,35000,"#angular4,#aws,#json,#mssql,#nodejs"
419,"FlowAccount Co., Ltd.",Android Developer,"Middle-Level, Full time", - บางรัก กรุงเทพมหานคร,50000,20000,"#android,#git,#java"
420,"FlowAccount Co., Ltd.",iOS Developer (Urgent!!),"Middle-Level, Full time", - บางรัก กรุงเทพมหานคร,50000,20000,"#firebase,#ios,#mvc,#swift"
421,deephead.com,React Developer,"Middle-Level, Full time", -  กรุงเทพมหานคร,50000,25000,
422,deephead.com,Software Developer,"Entry-Level, Full time", - หลักสี่ กรุงเทพมหานคร,30000,15000,
423,"Choco Card Enterprise Co.,Ltd",iOS Developer,"Entry-Level, Full time", - พระโขนง กรุงเทพมหานคร,40000,25000,"#ios,#mobile-application,#swift"
424,"AMORE IT CONSULT CO., LTD.",C#/.NET PROGRAMMER,"Middle-Level, Contract", - จตุจักร กรุงเทพมหานคร,50000,20000,"#c-sharp,#css,#html5,#pl-sql,#vb.net"
425,"AMORE IT CONSULT CO., LTD.",System Analyst/ Business Analyst.,"Entry-Level, Full time", - จตุจักร กรุงเทพมหานคร,50000,30000,"#analytics,#big-data,#data-science,#erp,#sa"
426,"Depth First Co., Ltd.",Java Developer (Junior/Senior) @ CNX,"Entry-Level, Full time", - เมืองเชียงใหม่ เชียงใหม่,50000,18000,"#application,#java,#spring-framework,#struts"
427,"Depth First Co., Ltd.",Java Developer (Junior/Senior) @BKK,"Entry-Level, Full time", - วัฒนา กรุงเทพมหานคร,50000,18000,"#j2ee,#java,#javascript,#spring-framework,#struts"
428,"Depth First Co., Ltd.",System Analyst,"Middle-Level, Full time", - วัฒนา กรุงเทพมหานคร,50000,30000,"#spring-framework,#struts,#systemanalysis,#systemanalyst,#web-service-development"
429,I GEAR GEEK,Web Developer,"Entry-Level, Full time", - เมืองเชียงใหม่ เชียงใหม่,35000,18000,"#html,#javascript,#laravel,#php,#react"
430,"Tek Def Co., Ltd.",Affiliate Coordinator,"Entry-Level, Full time", - บางละมุง ชลบุรี,35000,20000,"#affiliate,#bdm,#sale"
431,"Tek Def Co., Ltd.",Sales and Marketing Operations Coordinator,"Entry-Level, Full time", - บางละมุง ชลบุรี,35000,25000,
432,"Tek Def Co., Ltd.",SEO Specialist,"Entry-Level, Full time", - บางละมุง ชลบุรี,40000,20000,"#contentmarketing,#seo"
433,ISSOFT,UI/UX Designer,"Entry-Level, Full time", - จตุจักร กรุงเทพมหานคร,35000,20000,"#adobe-xd,#design-thinking,#sketch,#user-research,#zeplin"
434,"EWIT Co.,ltd.",Graphic Designer Officer / Sr.,"Entry-Level, Full time", - บางรัก กรุงเทพมหานคร,28000,20000,
435,"EWIT Co.,ltd.",Web Developer,"Entry-Level, Full time", - บางรัก กรุงเทพมหานคร,28000,20000,
436,"EWIT Co.,ltd.",Copywriter & Content Editor,"Middle-Level, Full time", - บางรัก กรุงเทพมหานคร,28000,20000,
437,Getlinks (On behalf of our partners),Full Stack Engineer (Remote work),"Senior-Level, Full time", - คลองเตย กรุงเทพมหานคร,100000,55000,"#django,#flask,#javascript,#mysql,#python"
438,Getlinks (On behalf of our partners),PHP Senior Web Developer,"Entry-Level, Full time", - บางรัก กรุงเทพมหานคร,80000,40000,"#angular,#laravel,#nodejs,#php,#react"
439,Getlinks (On behalf of our partners),Sr. Software Engineer-Front-end/Full Stack,"Senior-Level, Full time", - บางพลัด กรุงเทพมหานคร,100000,60000,"#css,#html,#javascript,#react,#restful"
440,"WebTVAsia Co., Ltd. (Bangkok Thailand)",Account Executive (AE),"Middle-Level, Full time", - บางเขน กรุงเทพมหานคร,50000,20000,"#account-management,#marketing,#sale"
441,"M.B. System Automation Co., Ltd.",Developer,"Entry-Level, Full time", - ลาดพร้าว กรุงเทพมหานคร,22000,22000,"#asp.net,#javascript,#php,#sql-server,#web-service"
442,Backyard,Junior Back-End Engineer,"Entry-Level, Full time", - สาทร กรุงเทพมหานคร,30000,20000,"#flask,#html,#python"
443,Backyard,Junior Front-End Engineer,"Entry-Level, Full time", - สาทร กรุงเทพมหานคร,30000,20000,"#css,#html,#javascript,#vuejs,#web-service"
444,"Socket 9 Co., Ltd.",Senior Back-end web developer,"Senior-Level, Full time", -  กรุงเทพมหานคร,50000,35000,"#c-sharp,#golang,#php"
445,"Socket 9 Co., Ltd.",Front-end web developer,"Entry-Level, Full time", -  กรุงเทพมหานคร,30000,20000,"#bootstrap,#react"
446,"Socket 9 Co., Ltd.",Senior Account Executive,"Middle-Level, Full time", -  กรุงเทพมหานคร,30000,20000,#sales
447,"Bighead Creative Co.,ltd.",Business Analyst จำนวน 1 ท่าน,"Middle-Level, Full time", - ลำลูกกา ปทุมธานี,55000,25000,
448,Taamkru Ltd.,Software Engineer,"Middle-Level, Full time", - วัฒนา กรุงเทพมหานคร,40000,24000,"#javascript,#mysql,#python,#react,#react-native"
449,"Digital Ventures Co., Ltd.",Java Developer,"Entry-Level, Full time", - คลองเตย กรุงเทพมหานคร,90000,25000,
450,DailiTech,Cloud Solution Engineer - AWS (Junior/Senior),"Entry-Level, Full time", - ราชเทวี กรุงเทพมหานคร,40000,20000,"#aws,#cloud-engineer,#engineering,#software-engineer"
451,Tourkrub,Front-End Developer (Urgent!!!!),"Middle-Level, Full time", - วัฒนา กรุงเทพมหานคร,70000,20000,"#github,#javascript,#nodejs,#react-native,#ruby-on-rails"
